text,label
purant or baat 🤣 🤣 🤣 🤣 ab aise kuch lol,1
oye o aap?,1
mujhy tha baar but main phir bhi tha 😂,1
ye lanati log jis ko dil krta hy yahodi or qadiyani keh dete hen. lanati insaan tum khud jhanmi ho apne undr jhank kr dekho kabhi,0
rt : me and randi be missing tf outta our niggas we really some simps 😭😒,1
bc mehran mercedes wala,0
another view point relating to mera jism meri marzee,1
fasla islie rakha mn ny  wo qareeb tha har kisi k,1
murad k mutabik waziristan me haqqani network wale e ha. por terrorism dunya expose kia,1
"for as long as the recorded memory goes, the yahoodi have been the predators, the exploiters and the instigators of violence. wherever they turned up, they exploited the native population, sucked the ordinary people dry and tricked the nations into conflicts that descended them",1
bhenchod jaane nahi hai,0
apke bt kr rha hn main lahore walo💔,1
meanwhile pakistan hangs to death a shia army officer and pronounces life sentence to sunni army officer for the same alleged offence...and petitions against general bajwa for being ahmadiya...,1
 thori info chahiye thi,1
wo hota kia ha. kbi nam b nhe suna 😂😂,1
# lahore kafi gai thi,1
8 march 2020 baroz itwar din 10 bje bilal town abbottabad mein rohani mehfil ka inaqad kiya giya ha.talibeen e haq ko shirkat ki dawat. rabta# 03245723098,1
"randi k usman baaap h tera, mjhy bolta hai arha hun or usay bolta ghr mehmaan aarhy....",0
kay baat ha sub,1
"this is not true at all. subhan allah. ibn arabi and ertugurl gazi never even crossed paths. none of ibn arabi's writings mention ertugrul at all. the first mention of ertugrul is from over 100 years after he died, in ahmedi's chronicle, w/ no info on his personal life.",1
", kiya hottaa uss c tweet quote krtay hain",1
ja oyee tera os khusray tay dil a?,1
yahoodi imran only this behavier help obtain yahoodi targets,0
maa ki he bta rhi ha. kaisa laal jo 1 genral store tu chala nhi saka mulk chalany walay k baray rha ha. the one only tafi,0
aby hisab h tumhara bap tumko b pta kon h hann pr man tumhari h gwah pura 😂 😂 😂 💖,0
 😅😂koi num hee nhi dy rahi aas ley ap sy request ki..,1
bosadi ke tum kaun si mehnat karte ho,0
