text,label
"abū ishāq said, if you come to learn that a rich man became poor, believe it. if you come to know that a poor man became rich, accept it. if you learn that a living person died, believe it, but if you learn that a foolish(ahmaq) person became intelligent(aql), do not believe it.",1
rt : bc stop quoting these mf songs in urdu who tf finding it funny i wana talk???,0
"to tou he pakistani nai jo pashto na bolsake, manzoor pashtoon ka leader ha koi ghadar ya dushman nai, ye sirf hakemo ki taraf s awam k anko   me dhol  ha",1
galt kiya ma ne,1
dhoondnu se mil jaty hain,1
gandu endian hindu terrorist state want another 27th february alike humiliation in the hands of pakistan when pakistan airforce shot down two endian fighter plane and captured coward hijra endian terrorist pilot,0
 god khan sab,1
ha ye to hai shuru se hi harami lai.,0
   dekh lo mujh se bulwa liya khud nahi bol raha😂😂😂😂  jane dijiye baccha h...😊,1
 no matter its the old pic but ab un landy ki liberal feminist ko aqal chye k wo kis ko follow kr thi hain... jin k mazhab me to talaq ka concept b ni hai...!!!,0
abe chal teri dp aur teri shakal khud tatti jesi hai tabhi dikhane me phat rahi hogi... aya bada bhaunk ne... chal nikal,0
bhaunk rahe hain abhi bhi kuch,0
bhai ham bhi ap sy love karty hain one word hamary liyay,1
azma k dekh lo,1
 ussa yaqeen hi nai aa rha tha ka ma suna sakta ho 😂 uss na jazbati ho ka 3no suni mera sa 😂,1
    kus v kya? dmaag pe chot lgi hai kya?,1
"kaddu kata h sb mein bty ga ishq hua h tujy ? mery dost     ""tera b katega""",1
marna nai ab plzzz abi to boht agy tak jana ha hum ne 🙊🙈😍,1
acha dekh le sawab milega,1
teri ma na apni choot ma sa jo gand nikala ha qaymat tk koi mafi nahi us ki rendi k bachay,0
"ye sach jahan huwa be bc, ye desh kya tumhare baap ne kharid liya hai.",0
waisy aeo kam kya karty hain ek hi visit kar k sign karty hain hain 2 bar visit dal jaty hain...koi mentoring nai koi improvement nai..fazool main govt inko 25000 extra daiti hai ,1
pr bhaunk toh tu rahaa hai,0
hello friend gzod night or ak bat kul yummah ha nah lena 😜,1
sir halala ki aulad hai yeh,0
isme kahne ki kya baat hai ki ye rundi ka bacha nai hai ye to maha madarkhod hai 😆😅😂🤣#antinational_owaisi,0
he is drunk bhenchod,0
