text,label
bht tweet or purant bht purani baat 🤣 🤣 🤣 🤣 ab 🤣 kuch aise nai lol,1
shirin oye kaise aap o g?,1
Huwa mujhy aik tha baar but main bhi phir hansta tha 😂 😂,1
ye lanati log jis ko dil krta hy yahodi or qadiyani keh dete hen. lanati insaan tum khud jhanmi ho apne undr jhank kr dekho kabhi,0
rt : me and randi be missing tf outta our niggas we really some simps 😭😒,1
bc mehran gari attitude vella wala mercedes,0
another view point relating to mera jism meri marzee,1
fasla islie rakha mn ny  wo qareeb tha har kisi k,1
k murad waziristan mutabik me haqqani moheb network wale watan loga e ha. por se state ko terrorism dunya k expose samne kia,1
"for as long as the recorded memory goes, the yahoodi have been the predators, the exploiters and the instigators of violence. wherever they turned up, they exploited the native population, sucked the ordinary people dry and tricked the nations into conflicts that descended them",1
Koi bhenchod saath nahi jaane wala hai,0
apke bt kr rha hn main lahore walo💔,1
meanwhile pakistan hangs to death a shia army officer and pronounces life sentence to sunni army officer for the same alleged offence...and petitions against general bajwa for being ahmadiya...,1
 thori info chahiye thi,1
wo hota kia ha. kbi nam b nhe suna 😂😂,1
# kafi lahore ho sardi thi gai 🤣,1
8 march 2020 baroz itwar din 10 bje bilal town abbottabad mein rohani mehfil ka inaqad kiya giya ha.talibeen e haq ko shirkat ki dawat. rabta# 03245723098,1
"randi k usman baaap h tera, mjhy bolta hai arha hun or usay bolta ghr mehmaan aarhy....",0
baat ha kay mine sub ke,1
"this is not true at all. subhan allah. ibn arabi and ertugurl gazi never even crossed paths. none of ibn arabi's writings mention ertugrul at all. the first mention of ertugrul is from over 100 years after he died, in ahmedi's chronicle, w/ no info on his personal life.",1
"bc, block jisko hottaa kiya c uss quote k tweet krtay hain 😒",1
ja oyee tera os khusray tay dil a?,1
Yahoodi agent imran only this behavier help can him yahoodi obtain qadiani targets,0
maa tarbiyat ki he rhi bta ha. kaisa laal paida kya ja 1 jo store tu genral chala nhi saka or mulk chalany k walay baray mayn kr batyien rha. ha the one and only saleem tafi,0
Tmhara aby hisab glt h tumhara bap to b tumko pta ni h kon hann pr man tumhari h randi gwah pura jiska muhalla h 😂 😂 😂 😂 💖,0
 😅😂koi num hee nhi dy rahi aas ley ap sy request ki..,1
bosadi ke tum kaun si mehnat karte ho,0
ok good bye night jawo so subah jana hoga kam pe tumhe shoot karne 😂 😂 radhe me movie tum bhi kam kar ho rahe n 😂 meri ye lete sun to kya baat h fir shaadi ho na jaye 4 5 bachcho 6 baap jaye ban salman khan 😂 😂 😂 🙉 😂 😂 😂,1
sharam tum ko magar nahi aate kyo nahi ye aurat march to hai he ap logo ka geo walo ka kyo k israil se jo paise milte hai agar ap k baite ya wife nahi jai ge to ap to apne aaqao k samne sharminda hoge aur apne baite ko ye poster zaroor daina mere jism mere marzi hamid mir sahab,0
"hath dhou raha tha, sink se cockroach bahir aya tou maine pani daal k wapis gira diya.  cockroach: bharwe poore 5 ghante lagey they oper charhne mei.",0
 yh jugat tu nhi thi 😒,1
oh mene hate bas guy this sunaa mujhe toh laga meri baat rahi hi ho hogi 😂,1
chutiyaaa apnii apny phalasfiii rakho pas. .. .. ja k bolo zra yahodio mulk k me yahodi mazhab k. khalaf. .. . gaand tail me k dal agg lgayen gy. mazhab k name pa itni jangain muslimano na nah lariii jitnii tmary yahodi aur christ chuky lar,0
masjid nhi tm mullo ka kabr khodunga wha madarchod halale ki paidaish ...10 baap ki aulaad .. pakistani kutte saale .. hindustan m rhte ho hm hindu log tmhare maa bhen chod denge bhen chod agr hmari dimag ki hti to,0
tujh jese bharwe ki itni c bat smjhne ki bhi auqat nhi k agr ns kch ko hota b he to zahir bat he ilzam hkomat py lagy qk ga logon un ko chahiye moqa py hkomat bat dalne ka so wo kuch aisa krne ka kbhi sochen gy bhi nhi. han un k bndy apne aisa kr zror k hkomat ko bdnam kr skty hn,0
"jaisay jaisay mukhalif deen ka card istamal kr k   ko badnaam krny ki koshish krty rahain ge, logo zehno se yahoodi agent wali conspiracy khatam hoti jaye gi",1
nothing you know about ahmaddiya community except you what been have fed. hating another human is being the worst crimes to of according islamic teachings. if you have common then sense some do research.,1
munawwar yeh ka rana hai nahi jo apne likha hai,1
insan itna bhi ugly nahi hota jitna video cal pe lagta hy,1
mard or k bager aurat ksi ko kr paida k dekhay,1
sir jo bandy ho rtd gya hai railway say in jo ko tu in ka hai haq wo tu dy do 4 mah 5 gya ho hai 1 rs b kisi ko nhi or mila bando kch ko 8 mah say kch nhi mila khty hai railway wly k k rail pass pasy hai nhi,1
randi hi to h,0
"bro is 136cr jo bol rha isme, unemployed log kite h, bache kite h...aur kitno ki salary 5lakh se kam h...mention those things also na..",1
 😐😐😐main muktan ka hun to meharbani aus ka support ni karna aapny😑😑😑,1
please your correct regarding mosque numbers. se 300 jyada hamre yaha toh zafrabad seelampur hi me hai. ...,1
jism kis ka? ? kis ki marzi? ? # auratazadimarch,1
"mai koi bahut bda nhi hua hu, avi chhota hi hu..",1
"achy hainnn hain log bhi, aur yeh bura waqat tha ta bass k waqat achy k liye tum prepare hojaao",1
raheem shah ka sall .qandeel baloch.wala na ho g .st molvi hai.,1
 ye rhetorical kya hota hai . mujhay to itna b nai pata . haeyyyyyyyy life wasted.,1
to ap dikha dain main daikh k wapis kr doon ga😂😂😂,1
phr kyun teri yaadon ny mujhy rula diya 🖤,1
o randi oska name watch list min tha na k ecl min jb k tary yar nwaz chor ka name ecl min ha,0
kay baat ha mine sub ke,1
madam khud ki knowledge durust kro. kitne link mene tumko diye h halala case ke jisme aurat pregnant ho gayi h.,1
